Rank,Journal/Zeitschrift,Rating,JQ2 Quality Index
359,International Journal of Management Reviews IJMR,C,6.1798310544
360,Journal of Entrepreneurship Education,C,6.17282678
361,International Journal of Operations and Quantitative Management,C,6.1660735143
362,Journal of Industrial Engineering,C,6.1659184114
363,Production and Inventory Management Journal,C,6.1616591928
364,Journal of Cleaner Production,C,6.157740781
365,International Small Business Journal,C,6.1506717256
366,Managing Service Quality,C,6.1504261519
367,Electronic Commerce Research and Applications,C,6.1480628655
368,ACM Computing Reviews,C,6.1288346384
369,Computers and Industrial Engineering,C,6.120873851
370,International Journal of Electronic Business,C,6.1198339743
371,Administrative Management,C,6.113674207
372,Advances in Accounting,C,6.1127981584
373,Enterprise Modelling and Information Systems Architectures,C,6.111820203
374,Das Gesundheitswesen,C,6.1056768029
375,Journal of Advertising,C,6.105243954
376,Industrielle Beziehungen,C,6.0942394408
377,Journal für Betriebswirtschaft JfB,C,6.0930432056
378,Central European Journal of Operations Research (formerly: Central European Journal for Operations Research and Economics; Czechoslovak Journal for Operations Research),C,6.0917081844
379,Qualitative Market Research,C,6.0878144397
380,International Marketing Review,C,6.0854737194
381,Journal of Strategic Marketing,C,6.0849233538
382,Canadian Tax Journal,C,6.0779591105
383,"4OR: A Quarterly Journal of Operations Research (formerly: 4OR: Quarterly Journal of the Belgian, French and Italian Operations Research Societies)",C,6.0773967342
384,International Journal on Media Management,C,6.0749427029
385,European Journal of Marketing,C,6.0729686327
386,Journal of Marketing Theory and Practice,C,6.0673262924
387,Australian Journal of Information Systems (AJIS),C,6.0663
388,Journal of Entrepreneurship,C,6.062968124
389,International Journal of Entrepreneurship and Small Business,C,6.0621713665
390,International Journal of Public Administration,C,6.0537968893
391,Higher Education,C,6.0537425854
392,Journal of Macromarketing,C,6.0507912421
393,International Journal of Integrated Supply Management,C,6.0495913733
394,Journal of Business Strategy,C,6.0480722681
395,Financial Review,C,6.0450019944
396,Journal of Entrepreneurial Finance and Business Ventures (formerly: Journal of Entrepreneurial and Small Business Finance; Journal of Entrepreneurial Finance; Journal of Small Business Finance),C,6.0416320532
397,Advances in International Marketing,C,6.0290362006
398,Industrial Marketing Management,C,6.0163998346
399,Family Business Review,C,6.0150845079
400,IEEE Software,C,6.0120683556
401,INFOR Journal for Canadian Operational Research Society,C,6.0092006815
402,Electronic Commerce Research,C,6.0030889709
